address,lat,lng
"190 Mary Teresa St #2 San Francisco, CA, 94134",37.7137643,-122.3985505
"370 Stoneridge Ln San Francisco, CA, 94134",37.71023,-122.426265
"8300 Oceanview Ter #205 San Francisco, CA, 94132",37.710069,-122.467411
"678 Moscow St San Francisco, CA, 94112",37.71704220000001,-122.4310962
"104 Trumbull St San Francisco, CA, 94112",37.730553,-122.42815
"1514 Quesada Ave San Francisco, CA, 94124",37.73173999999999,-122.388098
"215 Red Rock Way #J204 San Francisco, CA, 94131",37.7456324,-122.4425825
"875 La Playa St #383 San Francisco, CA, 94121",37.7716662,-122.5103364
"167 Vienna St San Francisco, CA, 94112-2107",37.7255619,-122.426221
"227 Panorama Dr San Francisco, CA, 94131",37.749014,-122.452401
"874 Silver Ave San Francisco, CA, 94134",37.7287754,-122.4177948
"519 Garfield St San Francisco, CA, 94132",37.719536,-122.4675741
"2247 45th Ave San Francisco, CA, 94116",37.7446551,-122.5039959
"1884 Bush St San Francisco, CA, 94109",37.7878096,-122.4283142
"747 Lyon St #2 San Francisco, CA, 94115",37.7778468,-122.4436402
"619 Haight St San Francisco, CA, 94117-3304",37.77161299999999,-122.432482
"50 Jerrold Ave #409 San Francisco, CA, 94124",37.7277605,-122.3695908
"3861 25th St San Francisco, CA, 94114",37.749907,-122.426374
"1117 Alabama St #A San Francisco, CA, 94110",37.753741,-122.410786
"887 47th Ave San Francisco, CA, 94121-3207",37.771768,-122.508035
"20 Meadowbrook Dr San Francisco, CA, 94132",37.7338025,-122.4843943
"1237 Chestnut St #5 San Francisco, CA, 94109-1048",37.8021057,-122.4240269
"195 25th Ave #101 San Francisco, CA, 94121",37.7859942,-122.48533
"192 Coleman St San Francisco, CA, 94124",37.7273661,-122.3688885
"156 Guerrero St #101 San Francisco, CA, 94103",37.768724,-122.424851
"111 Monterey Blvd San Francisco, CA, 94131",37.7314015,-122.4378595
"710 17th Ave San Francisco, CA, 94121",37.774559,-122.475473
"701 Minna St #14 San Francisco, CA, 94103",37.7767297,-122.4127364
"2032 Ellis St San Francisco, CA, 94107",37.78166,-122.439744
"88 King St #110 San Francisco, CA, 94107",37.7806904,-122.3892201
"1483 Sutter St #404 San Francisco, CA, 94109-5476",37.7867735,-122.4241362
"10 Miller Pl #701 San Francisco, CA, 94108",37.7932132,-122.4089808
"2040 Sutter St #301 San Francisco, CA, 94115",37.7861602,-122.4342124
"401 Harrison St #7F San Francisco, CA, 94105",37.7863987,-122.3920534
"1441 Jones St #304 San Francisco, CA, 94109",37.79459,-122.4151234
"190 7th St #2 San Francisco, CA, 94103",37.7780056,-122.4098162
"1545 Pine St #707 San Francisco, CA, 94109",37.7892442,-122.4212438
"110 Channel St #102 San Francisco, CA, 94158",37.7733155,-122.3930001
"1000 3rd St #822 San Francisco, CA, 94158",37.7734359,-122.3898896
"1141 Church St San Francisco, CA, 94114",37.7526159,-122.4272773
"1000 3rd St #403 San Francisco, CA, 94158",37.7734359,-122.3898896
"44 Valley St San Francisco, CA, 94110",37.744953,-122.423283
8-14 Cypress St San Francisco, CA, 94110,37.75196100000001,-122.416893
"1545 Pine St #209 San Francisco, CA, 94109",37.7892442,-122.4212438
"201 Folsom St #23E San Francisco, CA, 94105",37.7886997,-122.39226
